PlayerID,PlayerName,Team,TotalDuels,Wins,Win%,ArriveFirst%,FinalPtsPlayed,FinalPtsWon,TiebreakPlayed,TiebreakWon,NormNetMargin,Chokes_ArriveFirst_Losses,Win%_WhenNotArriveFirst,ClutchRating,ChokeRate_WhenArrivedFirst,Smoothed Clutch,Target Assassin Score,ArrivedFirst_Count,NotArrivedFirst_Count,Wins_WhenNotArriveFirst,ShrunkWin%_WhenNotArriveFirst,Losses_WhenArrivedFirst,ShrunkChokeRate_WhenArrivedFirst,Pressure-Weighted Avg Normalized Margin,Reliability,PowerRating,Adjusted PR
16,Eleni Zaraga,Eparxiotes,18,5,27.78%,16.67%,2,1,0,0,-37.47%,1,21.43%,0,33.33%,50.00%,1.2,3,14,3,25.00%,1,40.00%,-0.37,1,29.317,38.14
3,Elisavet Sekertzi,Athinaioi,7,2,28.57%,14.29%,0,0,0,0,-28.21%,1,33.33%,0,100.00%,50.00%,4.5,1,6,2,37.50%,1,66.67%,-0.28,0.7,20.852,27.13
6,Gio Karantonis,Athinaioi,4,2,50.00%,0.00%,0,0,0,0,16.25%,0,50.00%,0,Never arrived first,50.00%,1,0,4,2,50.00%,0,Never Arrived First,0.16,0.4,17.488,22.75
11,Stauroula Potiri,Athinaioi,5,1,20.00%,40.00%,1,0,0,0,-10.50%,1,0.00%,0,50.00%,43.33%,2,2,3,0,20.00%,1,50.00%,-0.13,0.5,14.756,19.20
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Define shrinkage constants (one-time),,,,,,,,,,,,,,,,,,,,,,,,,,
,Meaning,Value,,,,,,Components of POWER,,,,,,,,,,,,,,,,,,,
,Alpha (prior wins),1,,,,,,wWin,0.4,,,,,,,,,,,,,,,,,,
,Beta (prior losses),1,,,,,,wSpeed,0.15,,,,,,,,,,,,,,,,,,
,,,,,,,,wFinishBehind,0.2,,,,,,,,,,,,,,,,,,
,,,,,,,,wCloseAhead,0.1,,,,,,,,,,,,,,,,,,
,Define pressure weights (parameters),,,,0.4,Dominant + clutch,,wPressureMargin,0.15,,,,,,,,,,,,,,,,,,
,Name,Value,,,0.2,Solid performer,,ReliabilityMinDuels,10,,,,,,,,,,,,,,,,,,
,NormalWeight,1,,,0,Neutral,,,,,,,,,,,,,,,,,,,,,
,FinalPointWeight,1.5,,,−0.20,Weak under pressure,,,,,,,,,,,,,,,,,,,,,
,TiebreakWeight,2,,,0.4,Consistent liability,,,,,,,,,,,,,,,,,,,,,
